variable,definicion,unidad,fuente_o_calculo
escenario,Identificador del escenario de manejo,A o B,Tablas de escenarios y resultados
etapa,Numero de etapa dentro del escenario,adimensional,Scripts ACV_Escenario*.py
nombre_etapa,Nombre metodologico oficial de la etapa,texto,outputs/tablas_tesis/tabla_01_etapas_escenarios.csv
tipo_muestra,Tratamiento o material representado,texto,processed/acv_parametros_escenario_etapa.csv
n_ex_pct,Nitrogeno total reportado en laboratorio,% N total,processed/acv_parametros_escenario_etapa.csv
n_ex_fraction,Nitrógeno total como fracción másica efectiva,kg N/kg masa húmeda,A2 incorpora la materia seca gravimétrica; las demás etapas conservan la conversión directa
masa_total_kg_eq,Masa equivalente usada para escalar emisiones,kg eq/año,processed/masa_total_escenario_etapa.csv
valor,Valor numerico de la variable reportada,depende de unidad,Tablas finales
unidad,Unidad explicita del valor reportado,texto,Tablas finales
fuente_dato,Archivo o fuente de origen del valor,texto,Tablas finales
observaciones,Notas metodologicas o advertencias de uso,texto,Tablas finales
factor_caracterizacion,Factor para convertir emisiones a equivalentes,kg equivalente/kg sustancia,processed/acv_factores_equivalencia.csv
resultado_equivalente,Resultado de impacto ambiental por sustancia,"kg CO2-eq/año, mol N-eq/año o kg N-eq/año",tabla_07_impactos_por_etapa.csv
