tipo_muestra,tratamiento_laboratorio,jornada_muestreo,numero_muestras_solidos,numero_muestras_nitrogeno,variable,valor,unidad,desviacion_estandar,estado_integracion,observaciones,fuente_dato
Estiércol fresco,Estiércol fresco,M1;M2,,,Nitrogeno total,0.5180555555555556,% N total,0.2070251520473947,provisional_M1_M2,,processed/muestreos_integracion_interjornada_provisional.csv
Estiércol fresco,Estiércol fresco,M1;M2,,,Humedad,86.40004171894205,%,0.8912552813653571,provisional_M1_M2,,processed/muestreos_integracion_interjornada_provisional.csv
Estiércol fresco,Estiércol fresco,M1;M2,,,Materia seca,13.59995828105796,%,0.8912552813653446,provisional_M1_M2,,processed/muestreos_integracion_interjornada_provisional.csv
Estiércol fresco,Estiércol fresco,M1;M2,,,Cenizas,15.287051085756136,%,1.6462060843420745,provisional_M1_M2,,processed/muestreos_integracion_interjornada_provisional.csv
Estiércol fresco,Estiércol fresco,M1;M2,,,Solidos volatiles,84.71294891424387,%,1.6462060843420694,provisional_M1_M2,,processed/muestreos_integracion_interjornada_provisional.csv
Estiércol precompostado,Estiércol precompostado,M1;M2,,,Nitrogeno total,2.5041666666666664,% N total,0.1119585736878702,provisional_M1_M2,N determinado por el CIA mediante Dumas en muestra secada a 80 °C durante 48 h; la base formal final del porcentaje no está especificada. No se aplica conversión con la materia seca gravimétrica del TFG.,processed/muestreos_integracion_interjornada_provisional.csv
Estiércol precompostado,Estiércol precompostado,M1;M2,,,Humedad,79.33205644997125,%,2.4593334868730827,provisional_M1_M2,,processed/muestreos_integracion_interjornada_provisional.csv
Estiércol precompostado,Estiércol precompostado,M1;M2,,,Materia seca,20.667943550028752,%,2.4593334868730854,provisional_M1_M2,,processed/muestreos_integracion_interjornada_provisional.csv
Estiércol precompostado,Estiércol precompostado,M1;M2,,,Cenizas,24.975501281349228,%,5.74998260586874,provisional_M1_M2,,processed/muestreos_integracion_interjornada_provisional.csv
Estiércol precompostado,Estiércol precompostado,M1;M2,,,Solidos volatiles,75.02449871865076,%,5.74998260586874,provisional_M1_M2,,processed/muestreos_integracion_interjornada_provisional.csv
Aguas verdes,Aguas verdes,M2,,,Nitrogeno total,0.0092558888888888,% N total,,provisional_M2_pendiente_M3,M2 es el único estimador Kjeldahl elegible disponible y constituye el valor provisional vigente; M3 permanece pendiente para la integración final.,processed/muestreos_integracion_interjornada_provisional.csv
Purines,Purines,M2,,,Nitrogeno total,0.0139377777777777,% N total,,provisional_M2_pendiente_M3,M2 es el único estimador Kjeldahl elegible disponible y constituye el valor provisional vigente; M3 permanece pendiente para la integración final.,processed/muestreos_integracion_interjornada_provisional.csv
Aguas verdes,Aguas verdes,M1;M2,,,Densidad,1.0,g/mL,0.0,solo_caracterizacion,La densidad solo podrá adquirir otro uso si un consumidor explícito lo requiere posteriormente.,processed/muestreos_integracion_interjornada_provisional.csv
Purines,Purines,M1;M2,,,Densidad,1.0,g/mL,0.0,solo_caracterizacion,La densidad solo podrá adquirir otro uso si un consumidor explícito lo requiere posteriormente.,processed/muestreos_integracion_interjornada_provisional.csv
Estiércol precompostado,Estiércol precompostado,M1;M2,,,Carbono,36.30583333333333,% masa,0.793138106230913,solo_caracterizacion,Muestra secada a 80 °C durante 48 h; la base formal final del porcentaje no está especificada. No se aplica conversión con la materia seca gravimétrica del TFG.,processed/muestreos_integracion_interjornada_provisional.csv
Estiércol precompostado,Estiércol precompostado,M2,,,Relación C/N,14.3,Relación,,solo_caracterizacion,Muestra secada a 80 °C durante 48 h; la base formal final del porcentaje no está especificada. No se aplica conversión con la materia seca gravimétrica del TFG.,processed/muestreos_integracion_interjornada_provisional.csv
