escenario,etapa,nombre_etapa,flujo,valor,unidad,fuente,formula_origen,observaciones
A,1,Etapa 1: Precomposteo,Estiércol fresco,17525.1,kg/año,Academic_documents/references/parametros_operativos_sanchez_2026.csv,estiércol fresco recolectado,Overrides: boniga=1.0; agua=0.0; masa=1.0
A,1,Etapa 1: Precomposteo,Aguas verdes,0.0,L/año,Academic_documents/references/parametros_operativos_sanchez_2026.csv,estiércol fresco recolectado,Overrides: boniga=1.0; agua=0.0; masa=1.0
A,1,Etapa 1: Precomposteo,Masa equivalente total,17525.1,kg eq/año,Academic_documents/references/parametros_operativos_sanchez_2026.csv,estiércol fresco recolectado,Overrides: boniga=1.0; agua=0.0; masa=1.0
A,1,Etapa 1: Precomposteo,Factor restante fresco a precompostado,0.4239615549830651,kg/kg,processed/muestreos_transformacion_masa_interjornada.csv,estiércol fresco recolectado,Overrides: boniga=1.0; agua=0.0; masa=1.0
A,2,Etapa 2: Lombricompostaje,Fracción sólida precompostada,7429.968647,kg/año,Academic_documents/references/parametros_operativos_sanchez_2026.csv,estiércol recolectado con conversión fresca a precompostada,Overrides: boniga=1.0; agua=0.0; masa=1.0
A,2,Etapa 2: Lombricompostaje,Aguas verdes,0.0,L/año,Academic_documents/references/parametros_operativos_sanchez_2026.csv,estiércol recolectado con conversión fresca a precompostada,Overrides: boniga=1.0; agua=0.0; masa=1.0
A,2,Etapa 2: Lombricompostaje,Masa equivalente total,7429.968647,kg eq/año,Academic_documents/references/parametros_operativos_sanchez_2026.csv,estiércol recolectado con conversión fresca a precompostada,Overrides: boniga=1.0; agua=0.0; masa=1.0
A,2,Etapa 2: Lombricompostaje,Factor restante fresco a precompostado,0.4239615549830651,kg/kg,processed/muestreos_transformacion_masa_interjornada.csv,estiércol recolectado con conversión fresca a precompostada,Overrides: boniga=1.0; agua=0.0; masa=1.0
A,3,Etapa 3: Almacenamiento de aguas verdes,Fracción de boñiga asociada a aguas verdes,8753.625181,kg/año,Academic_documents/references/parametros_operativos_sanchez_2026.csv,estiércol remanente arrastrable,Overrides: boniga=1.0; agua=0.0; masa=1.0
A,3,Etapa 3: Almacenamiento de aguas verdes,Aguas verdes,0.0,L/año,Academic_documents/references/parametros_operativos_sanchez_2026.csv,estiércol remanente arrastrable,Overrides: boniga=1.0; agua=0.0; masa=1.0
A,3,Etapa 3: Almacenamiento de aguas verdes,Masa equivalente total,8753.625181,kg eq/año,Academic_documents/references/parametros_operativos_sanchez_2026.csv,estiércol remanente arrastrable,Overrides: boniga=1.0; agua=0.0; masa=1.0
A,3,Etapa 3: Almacenamiento de aguas verdes,Factor restante fresco a precompostado,0.4239615549830651,kg/kg,processed/muestreos_transformacion_masa_interjornada.csv,estiércol remanente arrastrable,Overrides: boniga=1.0; agua=0.0; masa=1.0
A,4,Etapa 4: Aplicación de aguas verdes en campos de pastoreo,Fracción de boñiga incorporada a las aguas verdes,8753.625181,kg/año,Academic_documents/references/parametros_operativos_sanchez_2026.csv,estiércol remanente más agua de lavado,Overrides: boniga=1.0; agua=1.0; masa=1.0
A,4,Etapa 4: Aplicación de aguas verdes en campos de pastoreo,Agua de lavado incorporada a las aguas verdes,250572.5,L/año,Academic_documents/references/parametros_operativos_sanchez_2026.csv,estiércol remanente más agua de lavado,Overrides: boniga=1.0; agua=1.0; masa=1.0
A,4,Etapa 4: Aplicación de aguas verdes en campos de pastoreo,Masa equivalente total,259326.125181,kg eq/año,Academic_documents/references/parametros_operativos_sanchez_2026.csv,estiércol remanente más agua de lavado,Overrides: boniga=1.0; agua=1.0; masa=1.0
A,4,Etapa 4: Aplicación de aguas verdes en campos de pastoreo,Factor restante fresco a precompostado,0.4239615549830651,kg/kg,processed/muestreos_transformacion_masa_interjornada.csv,estiércol remanente más agua de lavado,Overrides: boniga=1.0; agua=1.0; masa=1.0
B,1,Etapa 1: Almacenamiento de purines,Purín almacenado,26278.725181,kg/año,Academic_documents/references/parametros_operativos_sanchez_2026.csv,estiércol total teóricamente depositado,Overrides: boniga=1.0; agua=0.0; masa=1.0
B,1,Etapa 1: Almacenamiento de purines,Agua de lavado incorporada al purín,0.0,L/año,Academic_documents/references/parametros_operativos_sanchez_2026.csv,estiércol total teóricamente depositado,Overrides: boniga=1.0; agua=0.0; masa=1.0
B,1,Etapa 1: Almacenamiento de purines,Masa equivalente total,26278.725181,kg eq/año,Academic_documents/references/parametros_operativos_sanchez_2026.csv,estiércol total teóricamente depositado,Overrides: boniga=1.0; agua=0.0; masa=1.0
B,1,Etapa 1: Almacenamiento de purines,Factor restante fresco a precompostado,0.4239615549830651,kg/kg,processed/muestreos_transformacion_masa_interjornada.csv,estiércol total teóricamente depositado,Overrides: boniga=1.0; agua=0.0; masa=1.0
B,2,Etapa 2: Aplicación de purines en campo de pastoreo,Boñiga incorporada al purín,26278.725181,kg/año,Academic_documents/references/parametros_operativos_sanchez_2026.csv,estiércol total teóricamente depositado más agua de lavado,Overrides: boniga=1.0; agua=1.0; masa=1.0
B,2,Etapa 2: Aplicación de purines en campo de pastoreo,Agua de lavado incorporada al purín,250572.5,L/año,Academic_documents/references/parametros_operativos_sanchez_2026.csv,estiércol total teóricamente depositado más agua de lavado,Overrides: boniga=1.0; agua=1.0; masa=1.0
B,2,Etapa 2: Aplicación de purines en campo de pastoreo,Masa equivalente total,276851.225181,kg eq/año,Academic_documents/references/parametros_operativos_sanchez_2026.csv,estiércol total teóricamente depositado más agua de lavado,Overrides: boniga=1.0; agua=1.0; masa=1.0
B,2,Etapa 2: Aplicación de purines en campo de pastoreo,Factor restante fresco a precompostado,0.4239615549830651,kg/kg,processed/muestreos_transformacion_masa_interjornada.csv,estiércol total teóricamente depositado más agua de lavado,Overrides: boniga=1.0; agua=1.0; masa=1.0
