escenario,etapa,nombre_etapa,tipo_muestra,modelo_calculo,sistema_manejo_ipcc,parametro,valor,unidad,fuente_dato,observaciones,flujo,fuente,formula_origen
A,1,Etapa 1: Precomposteo,ESTIERCOL FRESCO,ipcc,composting_pasive,Nitrogeno total reportado,0.5180555555555556,% N total,muestreos_integracion_interjornada_provisional.csv,Valor de caracterizacion; no usar directamente en ecuaciones de N,,,
A,1,Etapa 1: Precomposteo,ESTIERCOL FRESCO,ipcc,composting_pasive,Nitrogeno total como fraccion masica,0.005180555555555556,kg N/kg masa húmeda,muestreos_integracion_interjornada_provisional.csv,A2 incorpora la materia seca gravimétrica; las demás etapas conservan la base analítica vigente,,,
A,1,Etapa 1: Precomposteo,ESTIERCOL FRESCO,ipcc,composting_pasive,Solidos volatiles,84.71294891424387,% base seca,muestreos_integracion_interjornada_provisional.csv,Parametro para CH4 en etapas solidas,,,
A,1,Etapa 1: Precomposteo,ESTIERCOL FRESCO,ipcc,composting_pasive,Materia seca,13.59995828105796,% masa húmeda,muestreos_integracion_interjornada_provisional.csv,Fracción de materia seca usada en etapas sólidas,,,
A,1,Etapa 1: Precomposteo,ESTIERCOL FRESCO,ipcc,composting_pasive,Masa equivalente total,17525.1,kg eq/año,processed/ipcc_sistemas_manejo_estiercol_factores.csv; processed/ipcc_factores_manejo_overrides_etapa.csv; processed/masa_total_escenario_etapa.csv,Base de escalamiento por etapa,,,
A,1,Etapa 1: Precomposteo,ESTIERCOL FRESCO,ipcc,composting_pasive,MCF,2.5,%,processed/ipcc_sistemas_manejo_estiercol_factores.csv; processed/ipcc_factores_manejo_overrides_etapa.csv; processed/masa_total_escenario_etapa.csv,Factor IPCC por sistema de manejo,,,
A,1,Etapa 1: Precomposteo,ESTIERCOL FRESCO,ipcc,composting_pasive,EF3,0.005,kg N2O-N/kg N,processed/ipcc_sistemas_manejo_estiercol_factores.csv; processed/ipcc_factores_manejo_overrides_etapa.csv; processed/masa_total_escenario_etapa.csv,Factor IPCC por sistema de manejo,,,
A,1,Etapa 1: Precomposteo,ESTIERCOL FRESCO,ipcc,composting_pasive,Fraccion de N volatilizado en MMS,0.45,adimensional,processed/ipcc_sistemas_manejo_estiercol_factores.csv; processed/ipcc_factores_manejo_overrides_etapa.csv; processed/masa_total_escenario_etapa.csv,Factor IPCC por sistema de manejo,,,
A,1,Etapa 1: Precomposteo,ESTIERCOL FRESCO,ipcc,composting_pasive,Fraccion de N lixiviado en MMS,0.04,adimensional,processed/ipcc_sistemas_manejo_estiercol_factores.csv; processed/ipcc_factores_manejo_overrides_etapa.csv; processed/masa_total_escenario_etapa.csv,Factor efectivo; A2 aplica un valor específico del sistema estudiado,,,
A,2,Etapa 2: Lombricompostaje,SOL: PRECOMPOSTADO,ipcc,composting_pasive,Nitrogeno total reportado,2.5041666666666664,% N total,muestreos_integracion_interjornada_provisional.csv,Valor de caracterizacion; no usar directamente en ecuaciones de N,,,
