tipo_factor,sistema_o_compuesto,factor,valor,unidad,fuente_dato,fuente_bibliografica_pendiente,observaciones
Factor IPCC por sistema de manejo,dry_lot,MCF,1.5,%,processed/ipcc_sistemas_manejo_estiercol_factores.csv,Si,Valores de referencia dry lot
Factor IPCC por sistema de manejo,dry_lot,EF3,0.02,kg N2O-N/kg N,processed/ipcc_sistemas_manejo_estiercol_factores.csv,Si,Valores de referencia dry lot
Factor IPCC por sistema de manejo,dry_lot,Fraccion volatilizada MMS,0.3,adimensional,processed/ipcc_sistemas_manejo_estiercol_factores.csv,Si,Valores de referencia dry lot
Factor IPCC por sistema de manejo,dry_lot,Fraccion lixiviada MMS,0.035,adimensional,processed/ipcc_sistemas_manejo_estiercol_factores.csv,Si,Valores de referencia dry lot
Factor IPCC por sistema de manejo,solid_storage,MCF,4.0,%,processed/ipcc_sistemas_manejo_estiercol_factores.csv,Si,Solidos almacenados
Factor IPCC por sistema de manejo,solid_storage,EF3,0.01,kg N2O-N/kg N,processed/ipcc_sistemas_manejo_estiercol_factores.csv,Si,Solidos almacenados
Factor IPCC por sistema de manejo,solid_storage,Fraccion volatilizada MMS,0.14,adimensional,processed/ipcc_sistemas_manejo_estiercol_factores.csv,Si,Solidos almacenados
Factor IPCC por sistema de manejo,solid_storage,Fraccion lixiviada MMS,0.0,adimensional,processed/ipcc_sistemas_manejo_estiercol_factores.csv,Si,Solidos almacenados
Factor IPCC por sistema de manejo,composting_invessel,MCF,0.5,%,processed/ipcc_sistemas_manejo_estiercol_factores.csv,Si,Compostaje / precompostado in vessel
Factor IPCC por sistema de manejo,composting_invessel,EF3,0.006,kg N2O-N/kg N,processed/ipcc_sistemas_manejo_estiercol_factores.csv,Si,Compostaje / precompostado in vessel
Factor IPCC por sistema de manejo,composting_invessel,Fraccion volatilizada MMS,0.45,adimensional,processed/ipcc_sistemas_manejo_estiercol_factores.csv,Si,Compostaje / precompostado in vessel
Factor IPCC por sistema de manejo,composting_invessel,Fraccion lixiviada MMS,0.0,adimensional,processed/ipcc_sistemas_manejo_estiercol_factores.csv,Si,Compostaje / precompostado in vessel
Factor IPCC por sistema de manejo,uncovered_anaerobic_lagoon,MCF,80.0,%,processed/ipcc_sistemas_manejo_estiercol_factores.csv,Si,Laguna anaerobia descubierta
Factor IPCC por sistema de manejo,uncovered_anaerobic_lagoon,EF3,0.0,kg N2O-N/kg N,processed/ipcc_sistemas_manejo_estiercol_factores.csv,Si,Laguna anaerobia descubierta
Factor IPCC por sistema de manejo,uncovered_anaerobic_lagoon,Fraccion volatilizada MMS,0.35,adimensional,processed/ipcc_sistemas_manejo_estiercol_factores.csv,Si,Laguna anaerobia descubierta
Factor IPCC por sistema de manejo,uncovered_anaerobic_lagoon,Fraccion lixiviada MMS,0.0,adimensional,processed/ipcc_sistemas_manejo_estiercol_factores.csv,Si,Laguna anaerobia descubierta
Factor IPCC por sistema de manejo,aerobic_treatment,MCF,0.0,%,processed/ipcc_sistemas_manejo_estiercol_factores.csv,Si,Tratamiento aerobio
Factor IPCC por sistema de manejo,aerobic_treatment,EF3,0.01,kg N2O-N/kg N,processed/ipcc_sistemas_manejo_estiercol_factores.csv,Si,Tratamiento aerobio
Factor IPCC por sistema de manejo,aerobic_treatment,Fraccion volatilizada MMS,0.27,adimensional,processed/ipcc_sistemas_manejo_estiercol_factores.csv,Si,Tratamiento aerobio
Factor IPCC por sistema de manejo,aerobic_treatment,Fraccion lixiviada MMS,0.0,adimensional,processed/ipcc_sistemas_manejo_estiercol_factores.csv,Si,Tratamiento aerobio
Factor IPCC por sistema de manejo,liquid_slurry,MCF,25.0,%,processed/ipcc_sistemas_manejo_estiercol_factores.csv,Si,Sistema liquido tipo slurry
Factor IPCC por sistema de manejo,liquid_slurry,EF3,0.0,kg N2O-N/kg N,processed/ipcc_sistemas_manejo_estiercol_factores.csv,Si,Sistema liquido tipo slurry
Factor IPCC por sistema de manejo,liquid_slurry,Fraccion volatilizada MMS,0.48,adimensional,processed/ipcc_sistemas_manejo_estiercol_factores.csv,Si,Sistema liquido tipo slurry
