escenario,etapa,nombre_etapa,sustancia,emision,valor,unidad,ecuacion_utilizada,fuente_factor_emision,masa_total_kg_eq,observaciones
A,1,Etapa 1: Precomposteo,CH4,Metano,4.869957649285889,kg CH4/año,Ecuacion 1 IPCC o factor medido en A2,processed/ipcc_sistemas_manejo_estiercol_factores.csv; processed/factores_emision_medidos.csv,17525.1,
A,1,Etapa 1: Precomposteo,N2O,N2O directo por gestion de estiercol,2.853392273809524,kg N2O/año,Ecuacion 2 IPCC o factor medido en A2,processed/ipcc_sistemas_manejo_estiercol_factores.csv; processed/factores_emision_medidos.csv,17525.1,n_ex_fraction usado como fraccion masica en ecuaciones de nitrogeno
A,1,Etapa 1: Precomposteo,N2O,N2O indirecto por volatilizacion,0.5992123774999999,kg N2O/año,Ecuacion 5,"IPCC, ecuación 5",17525.1,n_ex_fraction usado como fraccion masica en ecuaciones de nitrogeno
A,1,Etapa 1: Precomposteo,N2O,N2O indirecto por lixiviacion,0.0549278012708333,kg N2O/año,Ecuacion 6,"IPCC, ecuación 6",17525.1,n_ex_fraction usado como fraccion masica en ecuaciones de nitrogeno
A,1,Etapa 1: Precomposteo,NH3,Amoniaco desde manejo de estiercol,18.21325152109449,kg NH3/año,Ecuacion 12,Derivado de N volatilizado/lixiviado; factores IPCC y conversion estequiometrica,17525.1,n_ex_fraction usado como fraccion masica en ecuaciones de nitrogeno
A,1,Etapa 1: Precomposteo,NO3,Nitrato desde manejo de estiercol,66.39822974530209,kg NO3/año,Ecuacion 13,Derivado de N volatilizado/lixiviado; conversion estequiometrica en codigo,17525.1,n_ex_fraction usado como fraccion masica en ecuaciones de nitrogeno
A,2,Etapa 2: Lombricompostaje,CO2,Dioxido de carbono medido,156.63341602617308,kg CO2/año,factor medido,Jjagwe et al. (2019),7429.968647,
A,2,Etapa 2: Lombricompostaje,CH4,Metano,11.67072511567564,kg CH4/año,Ecuacion 1 IPCC o factor medido en A2,processed/ipcc_sistemas_manejo_estiercol_factores.csv; processed/factores_emision_medidos.csv,7429.968647,
A,2,Etapa 2: Lombricompostaje,N2O,N2O directo por gestion de estiercol,6.054956464619613e-05,kg N2O/año,Ecuacion 2 IPCC o factor medido en A2,processed/ipcc_sistemas_manejo_estiercol_factores.csv; processed/factores_emision_medidos.csv,7429.968647,n_ex_fraction usado como fraccion masica en ecuaciones de nitrogeno
A,2,Etapa 2: Lombricompostaje,N2O,N2O indirecto por volatilizacion,0.0,kg N2O/año,Ecuacion 5,"IPCC, ecuación 5",7429.968647,n_ex_fraction usado como fraccion masica en ecuaciones de nitrogeno
A,2,Etapa 2: Lombricompostaje,N2O,N2O indirecto por lixiviacion,0.0,kg N2O/año,Ecuacion 6,"IPCC, ecuación 6",7429.968647,n_ex_fraction usado como fraccion masica en ecuaciones de nitrogeno
A,2,Etapa 2: Lombricompostaje,NH3,Amoniaco desde manejo de estiercol,0.0,kg NH3/año,Ecuacion 12,Derivado de N volatilizado/lixiviado; factores IPCC y conversion estequiometrica,7429.968647,n_ex_fraction usado como fraccion masica en ecuaciones de nitrogeno
A,2,Etapa 2: Lombricompostaje,NO3,Nitrato desde manejo de estiercol,0.0,kg NO3/año,Ecuacion 13,Derivado de N volatilizado/lixiviado; conversion estequiometrica en codigo,7429.968647,n_ex_fraction usado como fraccion masica en ecuaciones de nitrogeno
A,3,Etapa 3: Almacenamiento de aguas verdes,CH4,Metano,129.73326686620533,kg CH4/año,Ecuacion 1 IPCC o factor medido en A2,processed/ipcc_sistemas_manejo_estiercol_factores.csv; processed/factores_emision_medidos.csv,8753.625181,
