escenario,etapa,nombre_etapa,categoria_impacto,sustancia,emision,unidad_emision,factor_caracterizacion,unidad_factor,resultado_equivalente,unidad_equivalente,fuente_factor,observaciones
A,1,Etapa 1: Precomposteo,Calentamiento global,CH4,8.116596082143149,kg CH4,21.0,kg CO2-eq/kg sustancia,170.44851772500613,kg CO2-eq/año,processed/acv_factores_equivalencia.csv,
A,1,Etapa 1: Precomposteo,Calentamiento global,N2O,1.123894148808095,kg N2O,310.0,kg CO2-eq/kg sustancia,348.40718613050944,kg CO2-eq/año,processed/acv_factores_equivalencia.csv,
A,1,Etapa 1: Precomposteo,Calentamiento global,CO2,0.0,kg CO2,1.0,kg CO2-eq/kg sustancia,0.0,kg CO2-eq/año,processed/acv_factores_equivalencia.csv,
A,1,Etapa 1: Precomposteo,Eutrofizacion,NH3,21.166982685714284,kg NH3,0.35,kg PO4-eq/kg sustancia,7.408443939999999,kg PO4-eq/año,processed/acv_factores_equivalencia.csv,
A,1,Etapa 1: Precomposteo,Eutrofizacion,NO3,3.859861548571429,kg NO3,0.095,kg PO4-eq/kg sustancia,0.3666868471142858,kg PO4-eq/año,processed/acv_factores_equivalencia.csv,
A,2,Etapa 2: Lombricompostaje,Calentamiento global,CH4,4.631411857864032,kg CH4,21.0,kg CO2-eq/kg sustancia,97.25964901514467,kg CO2-eq/año,processed/acv_factores_equivalencia.csv,
A,2,Etapa 2: Lombricompostaje,Calentamiento global,N2O,0.4177590605254609,kg N2O,310.0,kg CO2-eq/kg sustancia,129.5053087628929,kg CO2-eq/año,processed/acv_factores_equivalencia.csv,
A,2,Etapa 2: Lombricompostaje,Calentamiento global,CO2,0.0,kg CO2,1.0,kg CO2-eq/kg sustancia,0.0,kg CO2-eq/año,processed/acv_factores_equivalencia.csv,
A,2,Etapa 2: Lombricompostaje,Eutrofizacion,NH3,0.0951035986816,kg NH3,0.35,kg PO4-eq/kg sustancia,0.033286259538559994,kg PO4-eq/año,processed/acv_factores_equivalencia.csv,
A,2,Etapa 2: Lombricompostaje,Eutrofizacion,NO3,0.0,kg NO3,0.095,kg PO4-eq/kg sustancia,0.0,kg PO4-eq/año,processed/acv_factores_equivalencia.csv,
A,3,Etapa 3: Almacenamiento de aguas verdes,Calentamiento global,CH4,61.62330176144752,kg CH4,21.0,kg CO2-eq/kg sustancia,1294.089336990398,kg CO2-eq/año,processed/acv_factores_equivalencia.csv,
A,3,Etapa 3: Almacenamiento de aguas verdes,Calentamiento global,N2O,0.1596910691879558,kg N2O,310.0,kg CO2-eq/kg sustancia,49.5042314482663,kg CO2-eq/año,processed/acv_factores_equivalencia.csv,
A,3,Etapa 3: Almacenamiento de aguas verdes,Calentamiento global,CO2,0.0,kg CO2,1.0,kg CO2-eq/kg sustancia,0.0,kg CO2-eq/año,processed/acv_factores_equivalencia.csv,
A,3,Etapa 3: Almacenamiento de aguas verdes,Eutrofizacion,NH3,8.810593217892222,kg NH3,0.35,kg PO4-eq/kg sustancia,3.0837076262622776,kg PO4-eq/año,processed/acv_factores_equivalencia.csv,
A,3,Etapa 3: Almacenamiento de aguas verdes,Eutrofizacion,NO3,0.0,kg NO3,0.095,kg PO4-eq/kg sustancia,0.0,kg PO4-eq/año,processed/acv_factores_equivalencia.csv,
A,4,Etapa 4: Aplicación de aguas verdes en campos de pastoreo,Calentamiento global,CH4,0.0,kg CH4,21.0,kg CO2-eq/kg sustancia,0.0,kg CO2-eq/año,processed/acv_factores_equivalencia.csv,
A,4,Etapa 4: Aplicación de aguas verdes en campos de pastoreo,Calentamiento global,N2O,0.7884450457452207,kg N2O,310.0,kg CO2-eq/kg sustancia,244.41796418101842,kg CO2-eq/año,processed/acv_factores_equivalencia.csv,
A,4,Etapa 4: Aplicación de aguas verdes en campos de pastoreo,Calentamiento global,CO2,0.0,kg CO2,1.0,kg CO2-eq/kg sustancia,0.0,kg CO2-eq/año,processed/acv_factores_equivalencia.csv,
