factor,valor,unidad,script,ecuacion_o_uso,fuente_actual,referencia_asignada,observaciones
B0_T,0.24,"m3 CH4/kg SV","scripts/ACV_EscenarioA_etapa1.py; scripts/ACV_EscenarioA_etapa2.py; scripts/ACV_EscenarioA_etapa3.py; scripts/ACV_EscenarioB_etapa1.py","Ecuacion 1 CH4: ef_ch4","Hardcodeado en scripts","IPCC, ecuación de estimación de CH4","Debe moverse a tabla de parametros o citarse en metodologia."
AWMS,1.0,"adimensional","scripts/ACV_EscenarioA_etapa1.py; scripts/ACV_EscenarioA_etapa2.py; scripts/ACV_EscenarioA_etapa3.py; scripts/ACV_EscenarioB_etapa1.py","Ecuaciones de manejo de estiercol","Hardcodeado en scripts","Supuesto del modelo con estructura IPCC","Representa fraccion gestionada por el sistema."
N,1,"unidad o cabeza equivalente","scripts/ACV_EscenarioA_etapa1.py; scripts/ACV_EscenarioA_etapa2.py; scripts/ACV_EscenarioA_etapa3.py; scripts/ACV_EscenarioA_etapa4.py; scripts/ACV_EscenarioB_etapa1.py; scripts/ACV_EscenarioB_etapa2.py","Ecuaciones IPCC de N","Hardcodeado en scripts","Supuesto de unidad equivalente del modelo","Se combina con escalamiento posterior por masa_total_kg_eq."
N_cdg,0.0,"kg N/año","scripts/ACV_EscenarioA_etapa1.py; scripts/ACV_EscenarioA_etapa2.py; scripts/ACV_EscenarioA_etapa3.py; scripts/ACV_EscenarioA_etapa4.py; scripts/ACV_EscenarioB_etapa1.py; scripts/ACV_EscenarioB_etapa2.py","Aporte de N por codigestion","Hardcodeado en scripts","Supuesto de ausencia de codigestión","Mantener si no hay codigestion."
EF1,0.006,"kg N2O-N/kg N","scripts/ACV_EscenarioA_etapa4.py; scripts/ACV_EscenarioB_etapa2.py","Ecuacion 14: n2o_n_inputs","Hardcodeado en scripts","IPCC, ecuación 14","Debe documentarse por fuente/version IPCC."
EF4,0.014,"kg N2O-N/(kg NH3-N + NOx-N volatilizado)","scripts/ACV_EscenarioA_etapa1.py; scripts/ACV_EscenarioA_etapa2.py; scripts/ACV_EscenarioA_etapa3.py; scripts/ACV_EscenarioA_etapa4.py; scripts/ACV_EscenarioB_etapa1.py; scripts/ACV_EscenarioB_etapa2.py","Ecuaciones 5 y 16; N2O indirecto por volatilizacion/deposicion","Hardcodeado en scripts","IPCC, ecuaciones 5 y 16","Debe documentarse por fuente/version IPCC."
EF5,0.011,"kg N2O-N/kg N lixiviado","scripts/ACV_EscenarioA_etapa1.py; scripts/ACV_EscenarioA_etapa2.py; scripts/ACV_EscenarioA_etapa3.py; scripts/ACV_EscenarioA_etapa4.py; scripts/ACV_EscenarioB_etapa1.py; scripts/ACV_EscenarioB_etapa2.py","Ecuaciones 6 y 18; N2O indirecto por lixiviacion","Hardcodeado en scripts","IPCC, ecuaciones 6 y 18","Debe documentarse por fuente/version IPCC."
frac_gasm,0.21,"adimensional","scripts/ACV_EscenarioA_etapa4.py; scripts/ACV_EscenarioB_etapa2.py","Ecuacion 16; fraccion volatilizada en suelos gestionados","Hardcodeado en scripts","IPCC, ecuación 16","No esta en tabla de parametros."
frac_leach_h,0.24,"adimensional","scripts/ACV_EscenarioA_etapa4.py; scripts/ACV_EscenarioB_etapa2.py","Ecuacion 18; fraccion lixiviada/escorrentia en suelos gestionados","Hardcodeado en scripts","IPCC, ecuación 18","No esta en tabla de parametros."
R_N2_N2O,3,"kg N2-N/kg N2O-N","scripts/ACV_EscenarioA_etapa4.py; scripts/ACV_EscenarioB_etapa2.py","Ecuacion 24: frac_n2_ms","Hardcodeado en scripts","IPCC, ecuación 24","Se calcula pero no se exporta en resumen final."
FACTOR_N_A_N2O,1.571428571,"kg N2O/kg N2O-N","scripts/ecuaciones_acv.py","Conversion 44/28","Relacion estequiometrica","Conversión estequiométrica de N2O-N a N2O (44/28)","Constante derivada de masas molares."
FACTOR_N_A_NH3,1.214285714,"kg NH3/kg N","scripts/ecuaciones_acv.py","Conversion 17/14","Relacion estequiometrica","Conversión estequiométrica de N a NH3 (17/14)","Constante derivada de masas molares."
