tabla_origen,Escenario,Etapa,variable,valor_antes,valor_despues,diferencia_absoluta,diferencia_porcentual
ACV_resumen_emisiones,A,1.0,CH4_ec1,1.405241657133098,1.405241657133098,0.0,0.0
ACV_resumen_emisiones,A,1.0,CO2_medido,,,,
ACV_resumen_emisiones,A,1.0,N2O_ec14,,,,
ACV_resumen_emisiones,A,1.0,N2O_ec16,,,,
ACV_resumen_emisiones,A,1.0,N2O_ec18,,,,
ACV_resumen_emisiones,A,1.0,N2O_ec2,55.688436259420975,0.5568843625942097,-55.131551896826764,-99.0
ACV_resumen_emisiones,A,1.0,N2O_ec5,11.694571614478406,0.116945716144784,-11.577625898333622,-99.0
ACV_resumen_emisiones,A,1.0,N2O_ec6,1.0720023979938538,0.0107200239799385,-1.0612823740139152,-99.0
ACV_resumen_emisiones,A,1.0,NH3_ec12,355.46023787859303,3.55460237878593,-351.9056354998071,-99.0
ACV_resumen_emisiones,A,1.0,NH3_ec20,,,,
ACV_resumen_emisiones,A,1.0,NO3_ec13,1296.3843969689867,12.963843969689863,-1283.420552999297,-99.0
ACV_resumen_emisiones,A,1.0,NO3_ec21,,,,
ACV_resumen_emisiones,A,1.0,masa_total_kg_eq,4767.45683,4767.45683,0.0,0.0
ACV_resumen_emisiones,A,2.0,CH4_ec1,2.507384667511249,2.507384667511249,0.0,0.0
ACV_resumen_emisiones,A,2.0,CO2_medido,33.65174159028255,33.65174159028255,0.0,0.0
ACV_resumen_emisiones,A,2.0,N2O_ec14,,,,
ACV_resumen_emisiones,A,2.0,N2O_ec16,,,,
ACV_resumen_emisiones,A,2.0,N2O_ec18,,,,
ACV_resumen_emisiones,A,2.0,N2O_ec2,1.3008707557890596e-05,1.3008707557890596e-05,0.0,0.0
ACV_resumen_emisiones,A,2.0,N2O_ec5,0.0,0.0,0.0,
ACV_resumen_emisiones,A,2.0,N2O_ec6,0.0,0.0,0.0,
ACV_resumen_emisiones,A,2.0,NH3_ec12,0.0,0.0,0.0,
ACV_resumen_emisiones,A,2.0,NH3_ec20,,,,
ACV_resumen_emisiones,A,2.0,NO3_ec13,0.0,0.0,0.0,
ACV_resumen_emisiones,A,2.0,NO3_ec21,,,,
ACV_resumen_emisiones,A,2.0,masa_total_kg_eq,1472.39567,1472.39567,0.0,0.0
ACV_resumen_emisiones,A,3.0,CH4_ec1,5.641113467566541,5.641113467566541,0.0,0.0
ACV_resumen_emisiones,A,3.0,CO2_medido,,,,
