Arete,Fecha nac.,Peso ,Produccion,Raza
118,2018-01-11 00:00:00,453,x,Jeresey
215,2015-02-24 00:00:00,461,x,Jeresey
321,2021-07-07 00:00:00,369,x,Jeresey
615,2015-05-20 00:00:00,480,x,Jeresey
617,2017-02-25 00:00:00,349,x,Jeresey
715,2015-06-16 00:00:00,350,x,Jeresey
720,2020-04-04 00:00:00,344,x,Jeresey
815,2015-06-18 00:00:00,368,x,Jeresey
1015,2015-09-03 00:00:00,387,x,Jeresey
1121,2022-12-08 00:00:00,379,x,Jeresey
1220,2020-06-04 00:00:00,352,x,Jeresey
1319,2019-07-26 00:00:00,412,x,Jeresey
1417,2017-06-18 00:00:00,390,x,Jeresey
1422,2022-10-10 00:00:00,294,x,Jeresey
1916,2016-11-16 00:00:00,405,x,Jeresey
1920,2020-11-06 00:00:00,302,x,Jeresey
