material,variable,unidad,metodo_o_compatibilidad,jornadas_disponibles,jornadas_elegibles,numero_jornadas_elegibles,promedios_jornada,valor_integrado_provisional,desviacion_estandar_entre_jornadas,minimo_entre_jornadas,maximo_entre_jornadas,diferencia_M2_M1,diferencia_pct_M2_vs_M1,estado_integracion,uso_previsto,regla_integracion,observacion_metodologica
estiércol fresco,N total,% masa,Kjeldahl,M1;M2,M1;M2,2,M1=0.3716666666666667;M2=0.6644444444444445,0.5180555555555556,0.20702515204739477,0.3716666666666667,0.6644444444444445,0.2927777777777778,78.77428998505232,provisional_M1_M2,estimador experimental provisional vigente y elegible para promoción al ACV,media aritmética de promedios de jornada con igual peso temporal,
estiércol fresco,humedad,%,gravimetría,M1;M2,M1;M2,2,M1=85.76982906572027;M2=87.03025437216381,86.40004171894205,0.8912552813653571,85.76982906572027,87.03025437216381,1.260425306443537,1.46954391791751,provisional_M1_M2,estimador experimental provisional vigente y elegible para promoción al ACV,media aritmética de promedios de jornada con igual peso temporal,
estiércol fresco,materia seca,%,gravimetría,M1;M2,M1;M2,2,M1=14.23017093427972;M2=12.9697456278362,13.59995828105796,0.8912552813653446,12.9697456278362,14.23017093427972,-1.2604253064435191,-8.85741508141144,provisional_M1_M2,estimador experimental provisional vigente y elegible para promoción al ACV,media aritmética de promedios de jornada con igual peso temporal,
estiércol fresco,cenizas,%,gravimetría,M1;M2,M1;M2,2,M1=14.123007600287302;M2=16.45109457122497,15.287051085756136,1.6462060843420745,14.123007600287302,16.45109457122497,2.328086970937669,16.484356851088215,provisional_M1_M2,estimador experimental provisional vigente y elegible para promoción al ACV,media aritmética de promedios de jornada con igual peso temporal,
estiércol fresco,sólidos volátiles,%,gravimetría,M1;M2,M1;M2,2,M1=85.87699239971269;M2=83.54890542877503,84.71294891424387,1.6462060843420694,83.54890542877503,85.87699239971269,-2.3280869709376617,-2.7109554094554555,provisional_M1_M2,estimador experimental provisional vigente y elegible para promoción al ACV,media aritmética de promedios de jornada con igual peso temporal,
estiércol precompostado,N total,% masa,Dumas (combustión seca),M1;M2,M1;M2,2,M1=2.425;M2=2.5833333333333335,2.5041666666666664,0.11195857368787025,2.425,2.5833333333333335,0.15833333333333366,6.529209621993141,provisional_M1_M2,estimador experimental provisional vigente y elegible para promoción al ACV,media aritmética de promedios de jornada con igual peso temporal,"N determinado por el CIA mediante Dumas en muestra secada a 80 °C durante 48 h; la integración conserva el porcentaje analítico sin alterarlo. En A2, una capa posterior lo convierte a base húmeda con la materia seca gravimétrica del TFG."
estiércol precompostado,humedad,%,gravimetría,M1;M2,M1;M2,2,M1=77.59304506420413;M2=81.07106783573836,79.33205644997125,2.4593334868730827,77.59304506420413,81.07106783573836,3.478022771534228,4.482389843904628,provisional_M1_M2,estimador experimental provisional vigente y elegible para promoción al ACV,media aritmética de promedios de jornada con igual peso temporal,
estiércol precompostado,materia seca,%,gravimetría,M1;M2,M1;M2,2,M1=22.40695493579587;M2=18.92893216426164,20.667943550028752,2.4593334868730854,18.92893216426164,22.40695493579587,-3.4780227715342313,-15.5220679539011,provisional_M1_M2,estimador experimental provisional vigente y elegible para promoción al ACV,media aritmética de promedios de jornada con igual peso temporal,
estiércol precompostado,cenizas,%,gravimetría,M1;M2,M1;M2,2,M1=29.04135297366371;M2=20.909649589034746,24.975501281349228,5.74998260586874,20.909649589034746,29.04135297366371,-8.131703384628963,-28.00042887810095,provisional_M1_M2,estimador experimental provisional vigente y elegible para promoción al ACV,media aritmética de promedios de jornada con igual peso temporal,
estiércol precompostado,sólidos volátiles,%,gravimetría,M1;M2,M1;M2,2,M1=70.95864702633628;M2=79.09035041096524,75.02449871865076,5.74998260586874,70.95864702633628,79.09035041096524,8.131703384628963,11.459777948712697,provisional_M1_M2,estimador experimental provisional vigente y elegible para promoción al ACV,media aritmética de promedios de jornada con igual peso temporal,
aguas verdes,N total,% masa,Kjeldahl,M2,M2,1,M2=0.00925588888888889,0.00925588888888889,,0.00925588888888889,0.00925588888888889,,,provisional_M2_pendiente_M3,estimador experimental provisional vigente para el modelo ACV; pendiente de integración final con M3,media aritmética de los promedios M2 y M3 con igual peso temporal; M1 excluida,M2 es el único estimador Kjeldahl elegible disponible y constituye el valor provisional vigente; M3 permanece pendiente para la integración final.
purines,N total,% masa,Kjeldahl,M2,M2,1,M2=0.013937777777777768,0.013937777777777768,,0.013937777777777768,0.013937777777777768,,,provisional_M2_pendiente_M3,estimador experimental provisional vigente para el modelo ACV; pendiente de integración final con M3,media aritmética de los promedios M2 y M3 con igual peso temporal; M1 excluida,M2 es el único estimador Kjeldahl elegible disponible y constituye el valor provisional vigente; M3 permanece pendiente para la integración final.
aguas verdes,densidad,g/mL,densidad reportada,M1;M2,M1;M2,2,M1=1.0;M2=1.0,1.0,0.0,1.0,1.0,0.0,0.0,solo_caracterizacion,solo caracterización; no es parámetro representativo del modelo ACV,resumen descriptivo con igual peso por jornada; no usar como parámetro del modelo,La densidad solo podrá adquirir otro uso si un consumidor explícito lo requiere posteriormente.
purines,densidad,g/mL,densidad reportada,M1;M2,M1;M2,2,M1=1.0;M2=1.0,1.0,0.0,1.0,1.0,0.0,0.0,solo_caracterizacion,solo caracterización; no es parámetro representativo del modelo ACV,resumen descriptivo con igual peso por jornada; no usar como parámetro del modelo,La densidad solo podrá adquirir otro uso si un consumidor explícito lo requiere posteriormente.
