jornada,material,variable,numero_muestras_compuestas,numero_replicas_analiticas,numero_datos_validos,promedio_jornada,desviacion_estandar_entre_muestras,desviacion_analitica_intramuestra_media,minimo_entre_muestras,maximo_entre_muestras,unidad,metodo,uso_modelo,bandera_calidad
M1,aguas verdes,N amoniacal,2,0,2,70.17,0.3818376618,,69.9,70.44,mg/L,especiación,solo_trazabilidad,
M1,aguas verdes,N nítrico,2,0,2,0.995,0.148492424,,0.89,1.1,mg/L,especiación,solo_trazabilidad,
M1,aguas verdes,N ureico,2,0,2,0.6927,0.1650387227,,0.576,0.8094,mg/L,especiación,solo_trazabilidad,
M1,aguas verdes,densidad,2,0,2,1,0,,1,1,g/mL,densidad reportada,solo_caracterizacion,
M1,estiércol fresco,N total,2,6,6,0.3716666667,0.04478342948,0.04510403139,0.34,0.4033333333,% masa,Kjeldahl,elegible,
M1,estiércol fresco,cenizas,2,6,6,14.1230076,0.6676607196,1.231364216,13.65090018,14.59511502,%,gravimetría,elegible,
M1,estiércol fresco,humedad,2,6,6,85.76982907,0.6205196012,0.2245041418,85.33105545,86.20860268,%,gravimetría,elegible,
M1,estiércol fresco,materia seca,2,6,6,14.23017093,0.6205196012,0.2245041418,13.79139732,14.66894455,%,gravimetría,elegible,
M1,estiércol fresco,sólidos volátiles,2,6,6,85.8769924,0.6676607196,1.231364216,85.40488498,86.34909982,%,gravimetría,elegible,
M1,estiércol precompostado,N total,2,0,2,2.425,0.02121320344,,2.41,2.44,% masa,Dumas (combustión seca),elegible,
M1,estiércol precompostado,carbono,2,0,2,35.745,0.07778174593,,35.69,35.8,% masa,Dumas (combustión seca),solo_caracterizacion,
M1,estiércol precompostado,cenizas,2,6,6,29.04135297,4.255965063,1.075436959,26.03193122,32.05077473,%,gravimetría,elegible,
M1,estiércol precompostado,humedad,2,6,6,77.59304506,3.926927172,0.2682165746,74.81628823,80.3698019,%,gravimetría,elegible,
M1,estiércol precompostado,materia seca,2,6,6,22.40695494,3.926927172,0.2682165746,19.6301981,25.18371177,%,gravimetría,elegible,
M1,estiércol precompostado,sólidos volátiles,2,6,6,70.95864703,4.255965063,1.075436959,67.94922527,73.96806878,%,gravimetría,elegible,
M1,purines,N amoniacal,2,0,2,111.95,6.434671709,,107.4,116.5,mg/L,especiación,solo_trazabilidad,
M1,purines,N nítrico,2,0,2,0.19,0.01414213562,,0.18,0.2,mg/L,especiación,solo_trazabilidad,
M1,purines,N ureico,2,0,2,2.2,0.02828427125,,2.18,2.22,mg/L,especiación,solo_trazabilidad,
M1,purines,densidad,2,0,2,1,0,,1,1,g/mL,densidad reportada,solo_caracterizacion,
M2,aguas verdes,N total,3,0,3,0.009255888889,0.0005515493665,,0.008860666667,0.009886,% masa,Kjeldahl,elegible,
M2,aguas verdes,densidad,3,0,3,1,0,,1,1,g/mL,densidad reportada,solo_caracterizacion,
M2,estiércol fresco,N total,3,9,9,0.6644444444,0.01347150628,0.02255091255,0.6566666667,0.68,% masa,Kjeldahl,elegible,
M2,estiércol fresco,cenizas,3,9,9,16.45109457,1.866611077,0.5252303751,14.45916779,18.1600851,%,gravimetría,elegible,
M2,estiércol fresco,humedad,3,9,9,87.03025437,0.04972515989,0.5574420963,86.9792487,87.07859156,%,gravimetría,elegible,
M2,estiércol fresco,materia seca,3,9,9,12.96974563,0.04972515989,0.5574420963,12.92140844,13.0207513,%,gravimetría,elegible,
M2,estiércol fresco,sólidos volátiles,3,9,9,83.54890543,1.866611077,0.5252303751,81.8399149,85.54083221,%,gravimetría,elegible,
M2,estiércol precompostado,N total,3,0,3,2.583333333,0.211266025,,2.34,2.72,%,Dumas (combustión seca),elegible,
M2,estiércol precompostado,carbono,3,0,3,36.86666667,0.8400793613,,35.9,37.42,%,Dumas (combustión seca),solo_caracterizacion,
M2,estiércol precompostado,cenizas,3,9,9,20.90964959,1.23171252,1.280552537,19.75915692,22.20904418,%,gravimetría,elegible,
M2,estiércol precompostado,humedad,3,9,9,81.07106784,0.8979455783,1.175274625,80.47381717,82.10370611,%,gravimetría,elegible,
M2,estiércol precompostado,materia seca,3,9,9,18.92893216,0.8979455783,1.175274625,17.89629389,19.52618283,%,gravimetría,elegible,
M2,estiércol precompostado,relación C/N,3,0,3,14.3,0.8717797887,,13.7,15.3,Relación,Dumas (combustión seca),solo_caracterizacion,
M2,estiércol precompostado,sólidos volátiles,3,9,9,79.09035041,1.23171252,1.280552537,77.79095582,80.24084308,%,gravimetría,elegible,
M2,purines,N total,3,0,3,0.01393777778,0.0001433850036,,0.01377333333,0.01403666667,% masa,Kjeldahl,elegible,
M2,purines,densidad,3,0,3,1,0,,1,1,g/mL,densidad reportada,solo_caracterizacion,
